% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.852172043e+07 +3.852172043e+07 +3.852151055e+07 +3.852151055e+07 -4.8080e+00 +1.9526e-01 -3.2567e-01 +5.8831e-01 +6.0602e-01 +2.4558e+00 -1.4645e+00 -1.4306e+00 +3.4620e+00 -4.7855e+00 +2.1664e-01 -2.9879e-01 -3.5870e+00 +2.2242e+00 -2.5800e+00 +2.3597e+00 +2.1412e+00 -2.4771e+00 +3.1406e+00 -1.5339e+00
3 +2.252122203e+07 +2.252122203e+07 +2.252101215e+07 +2.252101215e+07 +2.8131e+00 +1.7150e+00 -4.4725e+00 -1.3586e+00 -1.6623e+00 +4.9392e+00 -1.0033e+00 -1.2468e+00 -3.9996e+00 -5.3349e-01 -1.2697e+00 -4.3050e+00 +4.4428e+00 -1.8902e+00 +2.9371e+00 +4.2586e+00 -1.2484e+00 -2.8518e+00 +4.1293e-01 +4.3698e+00
4 +1.317363121e+07 +1.317363121e+07 +1.317342133e+07 +1.317342133e+07 -3.0992e+00 -2.6877e+00 -4.0635e+00 -2.1651e+00 -2.1908e+00 +3.8511e+00 -2.4085e+00 -4.3503e+00 +3.1877e+00 -2.3447e+00 -1.2445e+00 +2.7528e+00 -3.3681e+00 -7.2622e-01 -1.3765e+00 +3.5193e+00 -1.7468e+00 +4.6848e+00 -1.3382e-01 +4.2691e+00
6 +6.810560484e+06 +6.810560484e+06 +6.810350604e+06 +6.810350604e+06 +1.9659e+00 +2.3175e-01 -2.8421e+00 -1.7308e+00 -3.8256e+00 +3.4015e+00 +3.2729e+00 -3.0483e+00 -2.3873e+00 +4.9321e+00 +2.8398e-01 -2.7246e+00 -4.6780e+00 -4.3529e+00 +2.8758e+00 +3.1664e+00 +1.6274e+00 +3.9818e+00 -2.9503e+00 +2.1297e+00
15 +4.105867852e+06 +4.105867852e+06 +4.105657972e+06 +4.105657972e+06 +3.6207e+00 +2.6075e+00 -3.3699e+00 +8.3669e-01 +2.8785e+00 +1.1191e+00 -3.1074e+00 +3.8410e+00 -3.6948e+00 +3.9737e+00 -8.7580e-01 +2.7129e+00 -1.7644e+00 -7.5943e-01 +4.8614e-01 -4.1974e+00 -3.5703e+00 +4.4855e+00 -3.8758e+00 +3.2971e+00
16 +1.904198957e+06 +1.904198957e+06 +1.903989077e+06 +1.903989077e+06 +1.5217e+00 +1.6623e+00 +3.8281e+00 -3.7454e+00 -3.6082e+00 +1.0792e+00 -3.0435e-01 +4.9711e+00 +1.3521e+00 +6.0563e-01 +6.2887e-01 -4.7751e+00 +3.8782e+00 -4.0337e+00 -2.1087e+00 -2.1302e+00 -3.5140e+00 +1.5401e+00 -2.6269e+00 +9.6396e-01
424 +1.576600061e+06 +1.576600061e+06 +1.576390181e+06 +1.576390181e+06 -2.3028e+00 +1.2712e+00 +4.1365e+00 -5.0000e+00 -4.6517e+00 -1.0736e-01 -2.5299e+00 +4.9914e+00 +8.9902e-01 +3.7832e-01 -4.5435e+00 -4.8853e+00 +4.6260e+00 -4.0714e+00 +8.8278e-01 -5.0000e+00 -5.0000e+00 +3.0762e+00 -1.8687e+00 +1.1600e+00
481 +8.560381835e+05 +8.560381835e+05 +8.558283035e+05 +8.558283035e+05 +2.7163e+00 -3.6223e-01 +3.1793e+00 -3.0315e+00 -3.5368e+00 +0.0000e+00 -1.2193e-01 +4.4664e+00 +1.3925e+00 +1.6455e-02 -3.4502e-01 -1.8308e+00 +5.0000e+00 -1.5365e-01 -2.1050e+00 -2.6986e+00 -3.2111e+00 +1.9072e+00 -2.7806e+00 +1.3901e+00
811 +6.161134160e+05 +6.161134160e+05 +6.159035360e+05 +6.159035360e+05 +1.6203e+00 -1.5527e+00 +2.0570e+00 -4.5694e+00 -6.9640e-01 +3.8007e+00 -1.2597e+00 +4.7242e+00 -4.7044e+00 +3.8828e+00 -1.1925e+00 -3.1261e+00 +4.0135e+00 +1.1679e+00 +9.3288e-01 -4.6763e+00 -2.8356e+00 +3.3206e+00 -2.1849e+00 +1.5068e+00
859 +3.809981152e+05 +3.809981152e+05 +3.807882352e+05 +3.807882352e+05 +1.4834e+00 +4.1801e-01 +5.0000e+00 -3.0690e+00 -2.1415e+00 +2.6108e+00 -9.6932e-01 +3.8857e+00 -3.5998e+00 +3.8174e+00 +2.5066e+00 +0.0000e+00 +2.5828e+00 -1.2566e+00 -3.7185e+00 -3.1817e+00 -3.3855e+00 +3.8633e+00 -2.3791e+00 +1.6652e+00
1146 +1.467527178e+05 +1.467527178e+05 +1.465428378e+05 +1.465428378e+05 +4.0688e-01 +8.2175e-01 +3.5697e+00 -3.7139e+00 -5.0000e+00 +4.5394e+00 -8.2831e-01 +3.7517e+00 +1.6269e+00 +2.2933e+00 -2.9376e-01 -8.4848e-01 +1.9725e+00 -1.5460e+00 -2.2168e+00 -3.1422e+00 -2.9641e+00 +3.4431e+00 -2.3320e+00 +1.7663e+00
2312 +9.339655946e+04 +9.339655946e+04 +9.318667946e+04 +9.318667946e+04 +1.1151e+00 +4.7934e-01 +3.6745e+00 -2.5564e+00 -5.0000e+00 +4.5020e+00 -1.3102e+00 +3.6242e+00 +1.9915e+00 +2.8802e+00 -1.4044e+00 -1.2743e+00 +3.2472e+00 -1.6638e+00 -2.0417e+00 -3.2311e+00 -3.3310e+00 +2.9033e+00 -2.3778e+00 +2.0327e+00
