% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.101703197e+05 +3.101703197e+05 +3.103194697e+05 +3.103194697e+05 +3.2649e+00 +4.2621e+00 +3.8863e+00 +3.8037e+00 +4.5349e-02 -2.5629e+00 -1.4176e+00 +1.9927e+00 -1.9987e+00 -3.0941e+00 -2.4192e+00 -2.7544e+00 +7.0041e-01 +3.6886e+00 +2.3147e+00 -2.2182e+00 +3.0737e+00 +4.5245e-02 -4.2501e+00 -2.2428e+00
8 +1.529342503e+05 +1.529342503e+05 +1.530834003e+05 +1.530834003e+05 +3.0330e-01 -4.4568e-01 +1.6709e+00 -1.9456e+00 -2.1941e+00 -1.9676e+00 +2.8307e+00 -2.4082e+00 -1.4465e+00 +4.5753e+00 -2.7343e+00 -1.7112e+00 +2.9045e+00 -3.2139e+00 -1.1828e+00 +1.8299e-01 -1.9893e+00 -3.5679e+00 -4.2484e+00 +1.2606e+00
10 +6.878738082e+04 +6.878738082e+04 +6.893653082e+04 +6.893653082e+04 +1.4384e+00 +2.0213e+00 -1.7592e+00 +9.6463e-01 -1.1351e+00 -1.6979e+00 +5.7524e-01 -2.5927e+00 -1.0573e+00 +2.4784e+00 +6.4312e-01 -1.6785e+00 -8.0678e-01 +1.9917e+00 -3.8746e-01 -3.7083e+00 -9.4719e-01 -2.2931e+00 -4.9301e+00 -1.9931e+00
408 +5.650225350e+04 +5.650225350e+04 +5.665140350e+04 +5.665140350e+04 +1.8395e+00 +1.3019e+00 -2.5257e+00 -2.4685e-01 -2.0189e+00 +0.0000e+00 +1.7742e+00 +0.0000e+00 -2.4669e+00 +1.1955e+00 +0.0000e+00 +2.9596e+00 +2.5955e+00 -5.7207e-01 +1.1476e+00 -3.3537e+00 -3.4333e+00 -1.7399e-01 -4.5902e+00 -2.8164e+00
603 +3.521119008e+04 +3.521119008e+04 +3.536034008e+04 +3.536034008e+04 +0.0000e+00 +0.0000e+00 -6.4171e-01 +2.8679e+00 -2.9265e+00 +2.6404e-02 +6.5006e-01 -1.9629e+00 +1.4525e+00 +3.0958e-01 -1.6340e-01 +9.3767e-01 +1.7949e+00 -5.0000e+00 +1.4787e-01 -2.7308e+00 -3.6511e+00 -1.1178e+00 -4.4545e+00 -2.0832e+00
802 +1.680897515e+04 +1.680897515e+04 +1.695812515e+04 +1.695812515e+04 +1.6450e+00 +1.4650e-01 +1.9209e-01 +0.0000e+00 -5.0000e+00 +1.4450e-01 -8.4970e-01 -3.2763e-01 -8.1459e-01 +2.3533e+00 -4.5620e-01 +1.3202e+00 +3.4109e+00 -7.3768e-01 -1.8700e+00 -1.7350e+00 +1.1012e+00 +1.8908e+00 -2.5641e+00 -1.4049e+00
957 +8.866752522e+03 +8.866752522e+03 +9.015902522e+03 +9.015902522e+03 +1.2002e-01 -1.6060e-01 -2.8613e+00 +2.3706e+00 -2.5862e+00 -1.5459e+00 -7.4613e-01 +2.1929e-01 -1.4200e+00 +2.0956e-01 -1.8949e+00 +0.0000e+00 +1.3803e+00 -1.0511e-01 -1.9523e+00 -3.4682e+00 -7.4631e-01 -1.1308e-02 -4.5700e+00 -3.0516e+00
1089 +5.342249470e+03 +5.342249470e+03 +5.491399470e+03 +5.491399470e+03 -4.0021e-01 -1.7092e+00 -2.6026e+00 +1.4215e+00 -2.9683e+00 -8.6616e-01 -5.6685e-01 -5.1362e-01 -1.5267e+00 -2.5047e-01 -2.5320e+00 -1.1259e+00 +1.8745e+00 -1.3707e-01 -2.1325e+00 -2.0872e+00 -2.3366e+00 -1.0249e+00 -4.5525e+00 -3.7146e+00
1479 +3.610093397e+03 +3.610093397e+03 +3.759243397e+03 +3.759243397e+03 +3.0952e-01 -8.8430e-01 -2.0644e+00 +1.5982e+00 -2.9665e+00 -8.3573e-01 -8.9786e-01 -4.9516e-01 -1.7603e+00 -8.2609e-01 -3.4087e+00 -5.4762e-01 +3.4885e+00 -1.6090e-01 -1.8675e+00 -1.1601e+00 -1.1857e+00 -8.5935e-02 -4.3744e+00 +4.3024e-01
2104 +1.544615582e+03 +1.544615582e+03 +1.693765582e+03 +1.693765582e+03 -1.1549e-01 -1.0724e+00 -1.6537e+00 +1.9295e+00 -3.3843e+00 -2.3339e+00 -2.4624e+00 -1.0959e+00 -1.1874e+00 -8.2059e-01 -3.7795e+00 -5.1704e-01 +2.3489e+00 -4.1612e-01 -1.9777e+00 -1.4538e+00 -1.5699e+00 -6.1630e-01 -4.2251e+00 -2.2182e+00
2871 +9.066268078e+02 +9.066268078e+02 +1.055776808e+03 +1.055776808e+03 -6.0492e-01 -1.6359e+00 -1.1632e+00 +1.4873e+00 -3.2799e+00 -2.5367e+00 -7.9092e-01 -1.2963e+00 -1.1890e+00 -1.3537e+00 -2.2359e+00 -5.9028e-01 +1.5260e+00 -9.3128e-01 -5.8609e-01 -1.5322e+00 -2.9991e-01 -1.3983e-01 -4.1306e+00 -1.7515e+00
3048 +5.437462591e+02 +5.437462591e+02 +6.928962591e+02 +6.928962591e+02 -2.4463e-01 -1.1493e+00 -1.1752e+00 +1.3933e+00 -3.2711e+00 -2.3248e+00 -1.5722e+00 -1.1307e+00 -7.5490e-01 -9.8068e-01 -2.0730e+00 -3.7327e-01 +2.0343e+00 -1.3323e+00 -1.5686e+00 -1.6182e+00 -3.5710e-01 +5.9346e-02 -3.9519e+00 -1.8732e+00
3540 +3.719708913e+02 +3.719708913e+02 +5.211208913e+02 +5.211208913e+02 -2.9014e-01 -1.0168e+00 -8.6791e-01 +1.6306e+00 -3.7554e+00 -2.5896e+00 -1.4546e+00 -2.0611e+00 -9.1207e-01 -8.6635e-01 -2.3568e+00 -4.9074e-01 +1.6115e+00 -1.8043e+00 -1.6914e+00 -1.6895e+00 -4.1560e-01 -1.4150e-01 -3.9712e+00 -2.1079e+00
4035 +2.319110643e+02 +2.319110643e+02 +3.810610643e+02 +3.810610643e+02 -2.8101e-01 -9.3391e-01 -8.8501e-01 +1.2846e+00 -3.5527e+00 -2.4682e+00 -1.4200e+00 -1.9097e+00 -9.8078e-01 -6.9057e-01 -2.5404e+00 -1.4146e-01 +1.6567e+00 -1.7184e+00 -1.9008e+00 -1.6463e+00 -7.9982e-01 -1.6531e-01 -3.9691e+00 -2.5082e+00
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.981811420e+05 +7.981811420e+05 +7.971811420e+05 +7.971811420e+05 +4.8145e-01 -2.4027e+00 -2.6910e+00 -1.8108e+00 +1.7066e+00 +2.5560e+00 +1.3575e+00 +4.0326e+00 -4.2354e+00 +1.7878e+00 -4.0136e+00 -4.6161e+00 -1.3645e+00 +3.9776e+00 -1.7762e+00 -3.7826e+00 -4.7752e-01 -7.1757e-01 +1.2335e+00 -4.0695e+00
